Temp,Pressure,Altitude,Accel X,Accel Y,Accel Z,Mag X,Mag Y,Mag Z
17.5,100976,29.17995558,-43,66,-961,-222,152,299
17.5,100982,29.01298048,-44,69,-975,-227,158,296
17.5,100983,29.01298048,-41,70,-986,-232,153,296
17.5,100975,28.34510689,-35,66,-973,-231,154,297
17.5,100979,29.01298048,-44,67,-965,-231,154,298
17.5,100976,28.59555446,-105,21,-887,-240,157,290
17.1,100879,37.78279532,-8,35,-960,-271,169,278
17.1,100872,38.03347005,44,46,-975,-278,165,276
17.1,100879,37.44857174,85,28,-976,-285,164,269
17.1,100882,37.03080735,104,23,-947,-287,172,268
17.5,100967,29.43042324,66,-6,-980,-279,179,272
17.5,100977,29.0964677,83,-16,-979,-282,190,267
17.6,100983,28.76252286,75,-19,-949,-277,187,270
17.3,100923,33.43872554,82,-66,-909,-279,119,279
17.2,100889,35.35991744,15,144,-1002,-231,-54,276
17.3,100910,33.7728204,-159,396,-921,-179,-134,256
17.3,100911,34.35751222,-187,472,-844,-184,-140,249
17.3,100917,33.18816143,-170,486,-818,-196,-133,253
17.3,100907,34.35751222,-166,497,-827,-192,-137,253
17.4,100913,34.35751222,-180,511,-832,-192,-137,253
17.4,100918,34.2739828,-162,530,-817,-185,-161,241
17.4,100914,34.35751222,-134,507,-804,-188,-158,242
17.4,100913,33.7728204,-139,532,-813,-187,-161,242
17.4,100920,34.52457305,-174,533,-788,-185,-161,239
17.4,100916,34.69163657,-150,526,-804,-191,-152,246
17.5,100909,34.60810447,-140,523,-807,-188,-165,236
17,100907,38.53483761,-149,587,-819,-200,-170,228
17.5,100883,33.8563458,-133,507,-775,-219,-167,224
17.5,100917,33.8563458,-104,519,-789,-208,-163,231
17.5,100919,33.52224825,-120,570,-750,-176,-184,230
17.5,100916,50.82589316,-198,641,-786,-148,-194,228
17.4,100927,45.97462719,-258,664,-821,-168,-166,242
17.4,100903,34.10692599,-135,575,-732,-192,-164,238
17.5,100914,34.52457305,-169,630,-730,-191,-186,223
17.5,100917,34.35751222,-184,623,-790,-194,-205,205
17.5,100913,34.10692599,-137,591,-749,-186,-224,197
17.5,100916,34.02339859,-106,594,-796,-177,-203,211
17.2,100914,47.4799505,-162,591,-751,-173,-197,225
17.5,100910,43.96786807,-138,624,-746,-163,-198,218
17.5,100911,34.10692599,-235,689,-732,-148,-224,206
17.5,100919,34.02339859,-286,686,-668,-135,-230,200
17.5,100910,34.52457305,-307,682,-649,-157,-202,219
17.5,100907,34.35751222,-258,671,-651,-159,-204,216
17.5,100914,34.10692599,-229,688,-710,-178,-215,200
17.5,100884,36.3624192,-224,622,-641,-156,-256,170
17.5,100913,33.7728204,-251,625,-679,-142,-282,145
17.5,100912,33.7728204,-231,722,-689,-126,-300,128
17.6,100919,34.2739828,-235,689,-649,-133,-310,110
17.6,100922,34.35751222,-243,729,-678,-132,-313,105
17.4,100919,35.27637999,-231,709,-676,-136,-312,103
17.6,100886,44.88758464,-209,691,-669,-132,-313,108
17.6,100927,33.52224825,-228,651,-697,-127,-313,108
17.4,100916,35.69407397,-254,662,-713,-115,-312,111
