Temp,Pressure,Altitude,Accel X,Accel Y,Accel Z,Magnet X,Magnet Y,Magnet Z
29.8,100316,84.93217734,113,1198,-77,-115,-333,-86
29.8,100235,91.649288,235,1830,-596,-175,-330,13
29.7,100128,102.2375456,110,1988,-488,53,-306,84
29.5,100038,111.4059379,94,2027,-486,263,-303,-238
29.3,99918,116.9613757,122,2037,-641,-243,-330,-322
29.1,99794,131.453156,119,2040,-919,132,-298,65
28.8,99635,140.9005442,526,1971,-1136,-136,-309,-466
28.5,99523,152.1304917,489,1929,-1433,191,-279,-305
27.5,99389,163.5417461,649,1864,-1603,-223,-294,70
27.9,99252,175.6429209,631,1827,-1454,-9,-288,-528
27.6,99232,174.9655593,526,-398,-1394,249,-262,13
27.4,99271,173.2723489,492,-780,-1140,-326,-292,-329
27,99294,169.6328816,313,-736,-871,277,-248,9
26.9,99300,170.9023183,338,-609,-725,-199,-281,-484
26.7,99244,172.2565552,249,-485,-532,-50,-264,174
26.5,99225,174.4575672,222,-387,-443,350,-203,-366
26.5,99247,174.7115602,140,-300,-352,-276,-235,-478
26,99065,195.8995187,182,-238,-312,-272,-215,149
26.2,99192,177.3365182,140,-159,-230,341,-147,36
26.2,99223,176.4050055,124,-110,-158,292,-111,-537
26.2,99236,175.0502271,54,-82,-144,-274,-119,-581
24.4,98782,189.0298801,84,-68,-126,-494,-75,-44
25.6,98870,198.3601253,36,-44,-128,-87,28,313
26,99191,179.2844969,25,-4,-92,370,186,71
26,99187,180.2162682,19,5,-59,354,351,-357
26.2,99246,173.9495999,21,-7,-46,46,463,-511
26.3,99275,172.5104943,51,-30,-52,-199,502,-409
25.4,99062,212.6261732,73,-56,-53,-264,523,-268
24.7,98837,194.2028886,88,-41,-21,-252,533,-180
25.7,99193,180.4704022,205,-147,178,-89,573,-148
25.6,99196,178.2681146,-11,-165,93,-2,576,-212
25.3,99142,185.554389,57,-206,29,-120,571,-183
25.3,99227,169.548258,-19,-284,-45,-71,575,-186
25.7,99373,163.5417461,14,-287,-209,-9,578,-190
25.4,99324,175.2195647,49,-406,-172,-10,575,-230
23.8,98874,200.5666829,203,-404,-146,-73,557,-338
24.7,99220,183.7747102,260,-483,-194,-143,568,-193
25.2,99506,150.9478199,476,-384,-126,-124,570,-115
25.2,99539,149.0896077,278,-354,1,35,576,-189
24.9,99354,176.5743652,20,-2,407,11,559,-347
23.9,99317,155.0877609,320,-407,-202,-192,563,-168
24.8,99646,140.8161545,108,-644,-933,87,565,-224
23.4,99481,149.1740647,149,-799,-1070,-166,558,-62
24.6,99700,142.5884825,206,-1402,-1261,51,576,-235
24.1,99774,133.7298654,-203,-604,236,-192,545,-322
24.4,99822,124.4575057,369,-683,-418,76,561,-121
22.9,99431,121.0035604,88,-1124,-830,-84,541,-407
24.2,99901,120.0770875,162,-1069,-1209,85,555,-97
23.8,99930,113.0049262,-178,-844,-1702,-78,540,29
23.4,99729,132.7179329,-13,-1095,-1886,-150,574,-156
23.7,100012,122.5197852,-716,-1050,-2001,188,520,-313
23.8,100353,82.33046303,-530,-1029,-1455,-104,-126,272
23.7,100322,84.09284354,-178,-291,-400,210,-347,-128
